MANDT,orderNo,statusNo,productID,customerNo,issDate,issTime,issContent,repPersonNo,dateFrom,timeFrom,dateTo,timeTo,repContent,price,currKey,feedBack,deleteFlag,zaction
100,1000000001,DELETED,100000001,CUS0001,2019-09-20,08:09:26,PLEASE FIX IT AS SOON AS POSSIBLE,REP001,2019-09-09,04:10:18,2019-10-28,04:10:25,3,12313,JPY,5,,
100,1000000002,CLOSED,100000001,CUS0002,2019-09-21,09:09:26,PLEASE FIX IT AS SOON AS POSSIBLE222,RUS0000002,2019-09-24,04:17:47,2019-09-24,04:17:47,112312,300,CNY,4,,
100,1000000003,CLOSED,100000001,CUS0002,2019-09-21,00:00:00,12313,RUS0000003,2019-10-30,12:16:21,2019-10-31,12:16:26,123,12,JPY,1,,
100,1000000004,CLOSED,100000001,CUS0002,2019-09-21,00:00:00,1,RUS0000001,2019-10-30,12:16:21,2019-10-31,12:16:26,123,12300,JPY,1,,
100,1000000005,DELETED,PRODUCT TEST02,CUS0001,2019-09-21,00:00:00,123131ISSUE CONTENTISSUE CONTENTISSUE CONTENT1Q1231,REP002,2019-10-08,04:10:03,2019-10-08,06:10:06,THE MACHINE HAS BEEN REPAIRED,100,JPY,4,,
100,1000000006,CLOSED,100000001,CUS0001,2019-09-21,00:00:00,TEST FOR CREATE 10/11,REP001,2019-10-11,05:03:29,2019-10-11,06:03:34,REPAIRED,100,USD,5,,
100,1000000007,CLOSED,100000001,CUS0001,2019-09-21,00:00:00,SWITCH CAN'T BE USED,REP002,2019-09-24,04:17:47,2019-09-24,04:17:47,123,123100,JPY,3,,
100,1000000008,CLOSED,PRODUCT TEST02,CUS0002,2019-09-21,00:00:00,123,RUS0000002,2019-10-23,02:28:32,2019-10-24,02:28:40,CHANGE SWITCH,90,USD,1,,
100,1000000009,CLOSED,PRODUCT TEST02,CUS0002,2019-09-21,00:00:00,123,XUG,2020-07-23,09:52:48,2020-07-24,09:52:53,test001,10,zzz,1,,
100,1000000010,CLOSED,PRODUCT TEST02,CUS0001,2019-09-21,00:00:00,123,RUS0000004,2019-11-18,01:31:17,2019-11-18,02:31:19,Repaired,100,USD,1,,
100,1000000011,CLOSED,PRODUCT TEST02,CUS0001,2019-09-21,00:00:00,123,REP002,2020-11-03,03:39:53,2020-11-25,03:39:55,ok,666,USD,5,,
100,1000000012,NEW,PRODUCT TEST02,CUS0002,2019-09-22,00:00:00,1231,,,00:00:00,,00:00:00,,0,,0,,
100,1000000013,DELETED,PRODUCT TEST02,CUS0002,2019-09-22,00:00:00,123,REP001,2019-10-14,01:05:12,2019-10-26,01:05:20,1,1,JPY,4,,
100,1000000014,REPAIRED,PRODUCT TEST02,CUS0002,2019-09-22,00:00:00,TETSSTSTST,REP002,2019-09-18,04:08:14,2019-10-24,01:12:35,1,123,USD,0,,
100,1000000015,NEW,PRODUCT TEST02,CUS0002,2019-09-22,00:00:00,12313,,,00:00:00,,00:00:00,,0,,0,,
100,1000000016,CLOSED,100000001,CUS0002,2019-10-23,00:00:00,TEST ISSUE,REP001,2019-10-14,02:29:08,2019-10-14,03:29:12,REPAIRED,10,CNY,5,,
100,1000000017,DELETED,100000001,CUS0001,2019-10-23,00:00:00,TEST,,,00:00:00,,00:00:00,,0,,0,,
100,1000000018,CLOSED,PRODUCT TEST02,CUS0002,2019-10-23,00:00:00,1231,REP001,2019-10-16,03:53:25,2019-10-16,03:53:28,2,123,JPY,3,,
100,1000000019,CLOSED,100000001,CUS0002,2019-10-23,00:00:00,1111,REP001,2019-10-16,03:58:00,2019-10-31,03:58:02,111111,123,JPY,3,,
100,1000000020,CLOSED,PRODUCT TEST02,CUS0002,2019-10-23,00:00:00,11111,REP001,2019-10-08,04:05:24,2019-10-14,04:05:27,123,1231,EUR,4,,
100,1000000021,CLOSED,PRODUCT TEST02,CUS0002,2019-10-23,00:00:00,111,REP001,2019-10-09,04:13:50,2019-10-19,04:13:52,1,1231,JPY,3,,
100,1000000022,CLOSED,PRODUCT TEST02,CUS0001,2019-10-24,00:00:00,1,REP001,2019-10-09,04:22:35,2019-10-30,04:22:37,1231,1,JPY,3,,
