MANDT,ZZ_PRODID,SPRAS,ZZ_PRODNM,ZZ_CATEGORY,ZZ_PRODINFO,ZZ_TECHINFO,ZZ_ADDINFO,ZZ_PRODIMG,ZZ_PARTSINFO
100,100000001,E,AVENGER 25PLUS,PORTABLE CONVECTOR,https://www.rinnai.com.au/online/heating/avenger-25plus-convector/#product-information,HTTP://WWW.BAIDU.COM,HTTP://WWW.BAIDU.COM,HTTPS://SAPUI5.HANA.ONDEMAND.COM/TEST-RESOURCES/SAP/UI/DOCUMENTATION/SDK/IMAGES/HT-6100-LARGE.JPG,HTTP://WWW.BAIDU.COM
100,100000001,J,PRODUCT NAME1,CATEG,https://rinnai.jp/g/,HTTP://WWW.BAIDU.COM,HTTP://WWW.BAIDU.COM,HTTPS://SAPUI5.HANA.ONDEMAND.COM/TEST-RESOURCES/SAP/UI/DOCUMENTATION/SDK/IMAGES/HT-6100-LARGE.JPG,HTTP://WWW.BAIDU.COM
100,100000003,E,SUPER PROJECTOR,SUPER PROJECTOR,http://translate.google.com/translate?js=n&sl=ja&tl=en&u=http://rinnai.jp/delicia/,HTTP://WWW.BAIDU.COM,HTTP://WWW.BAIDU.COM,HTTPS://SAPUI5.HANA.ONDEMAND.COM/TEST-RESOURCES/SAP/UI/DOCUMENTATION/SDK/IMAGES/HT-6100-LARGE.JPG,HTTP://WWW.BAIDU.COM
100,1008611,E,phone,AVENGER 25PLUS,PORTABLE CONVECTOR,https://www.rinnai.com.au/online/heating/avenger-25plus-convector/#product-information,https://is.gd/Yadd_info.2,https://www.rinnai.com.au/wp-content/uploads/2017/09/hero-avenger-25-plus2.jpg,https://www.rinnai.com.au/wp-content/uploads/2017/09/EDPL_RCE470_670TRE.pdf
100,1008613,E,phone,AVENGER 25PLUS,PORTABLE CONVECTOR,https://www.rinnai.com.au/online/heating/avenger-25plus-convector/#product-information,https://is.gd/Yadd_info.2,https://www.rinnai.com.au/wp-content/uploads/2017/09/hero-avenger-25-plus2.jpg,https://www.rinnai.com.au/wp-content/uploads/2017/09/EDPL_RCE470_670TRE.pdf
100,1008614,E,phone,AVENGER 25PLUS,PORTABLE CONVECTOR,https://www.rinnai.com.au/online/heating/avenger-25plus-convector/#product-information,https://is.gd/Yadd_info.2,https://www.rinnai.com.au/wp-content/uploads/2017/09/hero-avenger-25-plus2.jpg,https://www.rinnai.com.au/wp-content/uploads/2017/09/EDPL_RCE470_670TRE.pdf
100,1008615,E,phone,AVENGER 25PLUS,PORTABLE CONVECTOR,https://www.rinnai.com.au/online/heating/avenger-25plus-convector/#product-information,https://is.gd/Yadd_info.2,https://www.rinnai.com.au/wp-content/uploads/2017/09/hero-avenger-25-plus2.jpg,https://www.rinnai.com.au/wp-content/uploads/2017/09/EDPL_RCE470_670TRE.pdf
100,1234567,5,,,,,,,
100,16,1,24,24,200,200,200,200,200
100,ABCDEFG123456789,E,ROSE 25PLUS_2,PORTABLE CONVECTOR1,https://www.rinnai.com.au/online/heating/avenger-25plus-convector/#product-information2,https://is.gd/YHukaf32,https://is.gd/Yadd_info.2,https://www.rinnai.com.au/wp-content/uploads/2017/09/hero-avenger-25-plus2.jpg,https://www.rinnai.com.au/wp-content/uploads/2017/09/EDPL_RCE470_670TRE2.pdf
100,AV25PAN,E,AVENGER 25PLUS,PORTABLE CONVECTOR,https://www.rinnai.com.au/online/heating/avenger-25plus-convector/#product-information,https://is.gd/Yhukaf,https://is.gd/Yadd_info.2,https://www.rinnai.com.au/wp-content/uploads/2017/09/hero-avenger-25-plus2.jpg,https://www.rinnai.com.au/wp-content/uploads/2017/09/EDPL_RCE470_670TRE.pdf
100,AV25PAN,J,AVENGER 25PLUS,持ち運びヒーター,https://www.rinnai.com.au/online/heating/avenger-25plus-convector/#product-information,https://is.gd/YHukaf,,https://www.rinnai.com.au/wp-content/uploads/2017/09/hero-avenger-25-plus.jpg,https://www.rinnai.com.au/wp-content/uploads/2017/09/EDPL_RCE470_670TRE.pdf
100,AV25PAN1,E,AVENGER 25PLUS,PORTABLE CONVECTOR,https://www.rinnai.com.au/online/heating/avenger-25plus-convector/#product-information,https://is.gd/Yhukaf,https://is.gd/Yadd_info.2,https://www.rinnai.com.au/wp-content/uploads/2017/09/hero-avenger-25-plus2.jpg,https://www.rinnai.com.au/wp-content/uploads/2017/09/EDPL_RCE470_670TRE.pdf
100,AV25PAN10,2,AVENGER 25PLUS,PORTABLE CONVECTOR,https://www.rinnai.com.au/online/heating/avenger-25plus-convector/#product-information,https://is.gd/Yhukaf,https://is.gd/Yadd_info.2,https://www.rinnai.com.au/wp-content/uploads/2017/09/hero-avenger-25-plus2.jpg,https://www.rinnai.com.au/wp-content/uploads/2017/09/EDPL_RCE470_670TRE.pdf
