MANDT,ZZ_ORDERNO,ZZ_ITEM,USNAM,ZZ_STATUS,PSODT,PSOTM
100,1000000001,1,WANGN,NEW,2019-09-23,08:17:47
100,1000000001,2,UEKIY,DELETED,2019-09-27,01:18:43
100,1000000001,3,UEKIY,DELETED,2019-09-27,01:20:44
100,1000000001,4,UEKIY,DELETED,2019-09-27,01:21:48
100,1000000001,5,LUY,DELETED,2019-09-27,01:28:14
100,1000000001,6,LUY,,2019-09-27,01:38:51
100,1000000001,7,LUY,DELETED,2019-09-27,01:47:29
100,1000000001,8,LUY,,2019-09-27,02:06:43
100,1000000001,9,LUY,,2019-09-27,02:07:14
100,1000000001,10,LUY,CLOSED,2019-09-27,05:02:49
100,1000000001,11,LUY,DELETED,2019-09-27,06:14:19
100,1000000001,12,LUY,REPAIRED,2019-09-27,07:30:14
100,1000000001,13,LUY,REPAIRED,2019-09-27,07:40:33
100,1000000001,14,LUY,REPAIRED,2019-09-27,07:42:59
100,1000000001,15,LUY,REPAIRED,2019-09-27,07:43:57
100,1000000001,16,LUY,CLOSED,2019-09-27,07:44:17
100,1000000001,17,LUY,DELETED,2019-09-27,07:44:30
100,1000000001,18,LUY,CLOSED,2019-09-27,07:46:31
100,1000000001,19,LUY,DELETED,2019-09-27,07:46:40
100,1000000001,20,LUY,CLOSED,2019-09-30,05:16:13
100,1000000001,21,LUY,CLOSED,2019-09-30,05:17:28
100,1000000001,22,LUY,DELETED,2019-09-30,05:20:01
100,1000000002,1,WANGN,NEW,2019-09-23,08:17:47
100,1000000002,2,WANGN,REPAIRED,2019-09-23,08:36:56
100,1000000002,3,LUY,REPAIRED,2019-10-18,04:27:41
100,1000000002,4,LUY,REPAIRED,2019-11-12,07:55:35
100,1000000002,5,LUY,REPAIRED,2019-11-13,08:39:40
100,1000000002,6,LUY,REPAIRED,2020-03-10,01:41:38
100,1000000003,1,LUY,NEW,2019-09-30,05:02:45
100,1000000003,2,LUY,REPAIRED,2019-10-18,04:16:46
100,1000000003,3,XUG,CLOSED,2019-10-25,09:50:46
100,1000000004,1,LUY,NEW,2019-10-07,09:57:21
100,1000000004,2,LUY,REPAIRED,2019-10-18,04:18:50
100,1000000004,3,XUG,CLOSED,2019-10-25,09:51:32
100,1000000005,1,LUY,NEW,2019-10-08,06:14:13
100,1000000005,2,LUY,REPAIRED,2019-10-08,08:13:17
100,1000000005,3,LUY,CLOSED,2019-10-08,08:51:07
100,1000000005,4,LUY,DELETED,2019-10-08,09:14:02
100,1000000006,1,LUY,NEW,2019-10-11,08:20:32
100,1000000006,2,XUG,REPAIRED,2019-10-11,09:04:06
100,1000000006,3,XUG,CLOSED,2019-10-11,09:06:10
100,1000000007,1,XUG,NEW,2019-10-11,08:44:42
100,1000000007,2,LUY,REPAIRED,2019-10-18,04:28:17
100,1000000007,3,LUY,CLOSED,2019-10-18,04:28:27
100,1000000008,1,LUY,NEW,2019-10-14,03:32:32
